                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.65769,                0.53118,                 1.0799,                0.94711,                0.91269,                0.93307,                0.77012,                0.70781,                 0.4761,                 1.0854,               0.003367,               0.003367,               0.003367
                     70,                0.65288,                0.53359,                 1.0882,                0.90786,                 0.9195,                 0.9424,                0.74942,                0.73526,                0.50726,                 1.1002,               0.003268,               0.003268,               0.003268
                     71,                0.65915,                0.54893,                 1.0864,                0.92044,                0.83128,                0.90925,                0.74151,                0.76838,                0.69228,                 1.1116,               0.003169,               0.003169,               0.003169
                     72,                0.64807,                 0.5177,                 1.0822,                0.89904,                0.90149,                0.94926,                0.75783,                0.82563,                0.46583,                 1.1383,                0.00307,                0.00307,                0.00307
                     73,                0.63151,                0.49479,                 1.0691,                0.91921,                0.89797,                0.93923,                0.75774,                0.75056,                 0.5177,                 1.0854,               0.002971,               0.002971,               0.002971
                     74,                0.64447,                0.48574,                 1.0823,                0.93572,                0.88755,                0.93796,                0.78334,                0.64041,                0.44498,                 1.0411,               0.002872,               0.002872,               0.002872
                     75,                0.61519,                0.48825,                 1.0739,                0.91714,                0.91454,                0.94371,                0.78475,                 0.5878,                0.43192,                  1.026,               0.002773,               0.002773,               0.002773
                     76,                0.63407,                0.48288,                 1.0836,                0.93946,                0.88987,                 0.9338,                0.75352,                 0.7397,                0.51378,                 1.1073,               0.002674,               0.002674,               0.002674
                     77,                0.63103,                0.47283,                 1.0806,                0.90952,                0.91443,                0.91584,                0.75586,                0.70607,                0.52413,                 1.0836,               0.002575,               0.002575,               0.002575
                     78,                 0.6178,                0.50459,                 1.0681,                0.94786,                0.91759,                0.91355,                0.75204,                0.71115,                0.46858,                 1.0734,               0.002476,               0.002476,               0.002476
                     79,                0.61934,                0.47093,                 1.0601,                0.92769,                0.93823,                0.93321,                0.77373,                0.71442,                0.44903,                 1.0852,               0.002377,               0.002377,               0.002377
                     80,                0.61935,                0.48242,                 1.0726,                0.93823,                0.92592,                0.93794,                0.77885,                0.70692,                0.45317,                 1.0822,               0.002278,               0.002278,               0.002278
                     81,                0.60494,                0.48053,                 1.0649,                0.94876,                0.90917,                0.94484,                0.76946,                0.76543,                0.48278,                 1.0893,               0.002179,               0.002179,               0.002179
                     82,                0.59489,                0.44978,                 1.0453,                0.93038,                0.93914,                0.93809,                 0.7721,                0.69225,                0.43662,                  1.062,                0.00208,                0.00208,                0.00208
                     83,                0.58625,                0.45128,                 1.0523,                0.94823,                0.92991,                0.93939,                0.78557,                0.67543,                0.42755,                 1.0444,               0.001981,               0.001981,               0.001981
                     84,                0.59008,                 0.4556,                 1.0567,                0.94126,                0.92831,                0.92745,                0.78656,                0.70022,                0.41932,                 1.0813,               0.001882,               0.001882,               0.001882
